_previousMonth,_previousYear,Date,Investment Value,Type of structure,_valueConnector,Dollars
2020-07-01,2019-08-01,2020-08-01,Unadjusted - current,Total institutional and governmental,2258076,2258076
2020-07-01,2019-08-01,2020-08-01,Unadjusted - current,Total residential,162409187,162409187
2020-08-01,2019-09-01,2020-09-01,Seasonally adjusted - constant,Total commercial,19137642,19137642
2020-08-01,2019-09-01,2020-09-01,Seasonally adjusted - constant,Total industrial,1883232,1883232
2020-08-01,2019-09-01,2020-09-01,Seasonally adjusted - constant,Total institutional and governmental,1959153,1959153
2020-08-01,2019-09-01,2020-09-01,Seasonally adjusted - constant,Total residential,108341634,108341634
2020-08-01,2019-09-01,2020-09-01,Seasonally adjusted - current,Total commercial,22247419,22247419
2020-08-01,2019-09-01,2020-09-01,Seasonally adjusted - current,Total industrial,2193907,2193907
2020-08-01,2019-09-01,2020-09-01,Seasonally adjusted - current,Total institutional and governmental,2257252,2257252
2020-08-01,2019-09-01,2020-09-01,Seasonally adjusted - current,Total residential,131707275,131707275
2020-08-01,2019-09-01,2020-09-01,Unadjusted - constant,Total commercial,19649109,19649109
2020-08-01,2019-09-01,2020-09-01,Unadjusted - constant,Total industrial,1753846,1753846
2020-08-01,2019-09-01,2020-09-01,Unadjusted - constant,Total institutional and governmental,2202479,2202479
2020-08-01,2019-09-01,2020-09-01,Unadjusted - constant,Total residential,125996884,125996884
2020-08-01,2019-09-01,2020-09-01,Unadjusted - current,Total commercial,22807552,22807552
2020-08-01,2019-09-01,2020-09-01,Unadjusted - current,Total industrial,2035848,2035848
