_previousMonth,_previousYear,Date,Investment Value,Type of structure,_valueConnector,Dollars
2021-05-01,2020-06-01,2021-06-01,Seasonally adjusted - current,Total commercial,14330987,14330987
2021-05-01,2020-06-01,2021-06-01,Seasonally adjusted - current,Total industrial,2276522,2276522
2021-05-01,2020-06-01,2021-06-01,Seasonally adjusted - current,Total institutional and governmental,3130504,3130504
2021-05-01,2020-06-01,2021-06-01,Seasonally adjusted - current,Total residential,101941618,101941618
2021-03-01,2020-04-01,2021-04-01,Unadjusted - constant,Total commercial,12407676,12407676
2010-09-01,2009-10-01,2010-10-01,Seasonally adjusted - constant,Total commercial,21233519,21233519
2010-10-01,2009-11-01,2010-11-01,Seasonally adjusted - constant,Total commercial,22100625,22100625
2010-11-01,2009-12-01,2010-12-01,Seasonally adjusted - constant,Total commercial,21847388,21847388
2010-12-01,2010-01-01,2011-01-01,Seasonally adjusted - constant,Total commercial,22113577,22113577
2011-01-01,2010-02-01,2011-02-01,Seasonally adjusted - constant,Total commercial,23390030,23390030
2011-02-01,2010-03-01,2011-03-01,Seasonally adjusted - constant,Total commercial,24647874,24647874
2011-03-01,2010-04-01,2011-04-01,Seasonally adjusted - constant,Total commercial,25023310,25023310
2011-04-01,2010-05-01,2011-05-01,Seasonally adjusted - constant,Total commercial,25299016,25299016
2011-05-01,2010-06-01,2011-06-01,Seasonally adjusted - constant,Total commercial,24646374,24646374
2011-06-01,2010-07-01,2011-07-01,Seasonally adjusted - constant,Total commercial,24187910,24187910
2011-07-01,2010-08-01,2011-08-01,Seasonally adjusted - constant,Total commercial,23392727,23392727
2011-08-01,2010-09-01,2011-09-01,Seasonally adjusted - constant,Total commercial,23669527,23669527
2011-09-01,2010-10-01,2011-10-01,Seasonally adjusted - constant,Total commercial,24657334,24657334
2011-10-01,2010-11-01,2011-11-01,Seasonally adjusted - constant,Total commercial,22854886,22854886
2012-12-01,2012-01-01,2013-01-01,Seasonally adjusted - constant,Total commercial,29001405,29001405
2013-01-01,2012-02-01,2013-02-01,Seasonally adjusted - constant,Total commercial,29427120,29427120
2013-02-01,2012-03-01,2013-03-01,Seasonally adjusted - constant,Total commercial,29592469,29592469
2013-06-01,2012-07-01,2013-07-01,Seasonally adjusted - constant,Total commercial,27979079,27979079
