_officeFilter,_previousQ,_previousYear,Date,Market,_valueConnector,Gross Rent - All Classes (psf),Gross Rent - Class A (psf),Vacancy Rate
0,2015-07-01,2014-10-01,2015-10-01,Halifax - Suburban,27.52,27.52,29.54,0.133
1,2015-07-01,2014-10-01,2015-10-01,HRM,27.42,27.42,30.55,0.136
0,2015-10-01,2015-01-01,2016-01-01,Bedford,24.23,24.23,23.65,0.178
0,2015-10-01,2015-01-01,2016-01-01,Dartmouth,25.03,25.03,27.51,0.139
0,2015-10-01,2015-01-01,2016-01-01,Halifax - Central Business District,28.92,28.92,33.75,0.143
0,2015-10-01,2015-01-01,2016-01-01,Halifax - Suburban,27.79,27.79,30.21,0.102
1,2015-10-01,2015-01-01,2016-01-01,HRM,26.44,26.44,30.44,0.136
0,2016-01-01,2015-04-01,2016-04-01,Bedford,25.99,25.99,27.65,0.134
0,2016-01-01,2015-04-01,2016-04-01,Dartmouth,25.15,25.15,27.48,0.144
0,2016-01-01,2015-04-01,2016-04-01,Halifax - Central Business District,28.92,28.92,33.75,0.146
0,2016-01-01,2015-04-01,2016-04-01,Halifax - Suburban,26.98,26.98,28.84,0.113
1,2016-01-01,2015-04-01,2016-04-01,HRM,27.44,27.44,30.34,0.14
0,2016-04-01,2015-07-01,2016-07-01,Bedford,24.64,24.64,27.65,0.148
0,2016-04-01,2015-07-01,2016-07-01,Dartmouth,25.14,25.14,27.47,0.143
0,2016-04-01,2015-07-01,2016-07-01,Halifax - Central Business District,28.93,28.93,33.75,0.146
0,2016-04-01,2015-07-01,2016-07-01,Halifax - Suburban,26.99,26.99,28.85,0.15
1,2016-04-01,2015-07-01,2016-07-01,HRM,27.26,27.26,30.34,0.145
0,2016-07-01,2015-10-01,2016-10-01,Bedford,26.06,26.06,27.79,0.256
0,2016-07-01,2015-10-01,2016-10-01,Dartmouth,25.13,25.13,27.46,0.166
0,2016-07-01,2015-10-01,2016-10-01,Halifax - Central Business District,29.92,29.92,33.75,0.147
0,2016-07-01,2015-10-01,2016-10-01,Halifax - Suburban,26.98,26.98,28.83,0.142
1,2016-07-01,2015-10-01,2016-10-01,HRM,27.49,27.49,30.36,0.159
0,2016-10-01,2016-01-01,2017-01-01,Bedford,25.56,25.56,26.29,0.252
0,2016-10-01,2016-01-01,2017-01-01,Dartmouth,25.26,25.26,27.57,0.153
0,2016-10-01,2016-01-01,2017-01-01,Halifax - Central Business District,29.1,29.1,34.16,0.151
0,2016-10-01,2016-01-01,2017-01-01,Halifax - Suburban,27.34,27.34,29.02,0.151
1,2016-10-01,2016-01-01,2017-01-01,HRM,27.59,27.59,30.57,0.158
0,2017-01-01,2016-04-01,2017-04-01,Bedford,25.72,25.72,26.39,0.251
0,2017-01-01,2016-04-01,2017-04-01,Dartmouth,25.3,25.3,27.74,0.17
0,2017-01-01,2016-04-01,2017-04-01,Halifax - Central Business District,29.12,29.12,34.16,0.15
0,2017-01-01,2016-04-01,2017-04-01,Halifax - Suburban,27.22,27.22,28.97,0.113
1,2017-01-01,2016-04-01,2017-04-01,HRM,27.6,27.6,30.62,0.154
0,2017-04-01,2016-07-01,2017-07-01,Bedford,25.76,25.76,26.29,0.232
0,2017-04-01,2016-07-01,2017-07-01,Dartmouth,25.24,25.24,27.62,0.157
0,2017-04-01,2016-07-01,2017-07-01,Halifax - Central Business District,29,29,34.11,0.154
0,2017-04-01,2016-07-01,2017-07-01,Halifax - Suburban,27.08,27.08,28.84,0.101
1,2017-04-01,2016-07-01,2017-07-01,HRM,27.56,27.56,30.53,0.15
0,2017-07-01,2016-10-01,2017-10-01,Bedford,26.14,26.14,27.88,0.135
0,2017-07-01,2016-10-01,2017-10-01,Dartmouth,25.24,25.24,27.62,0.158
0,2017-07-01,2016-10-01,2017-10-01,Halifax - Central Business District,29.7,29.7,35.09,0.176
0,2017-07-01,2016-10-01,2017-10-01,Halifax - Suburban,26.81,26.81,28.84,0.077
1,2017-07-01,2016-10-01,2017-10-01,HRM,27.93,27.93,31.22,0.155
0,2017-10-01,2017-01-01,2018-01-01,Bedford,25.73,25.73,26.29,0.222
