_comparatorDateQ,_industrialFilter,_previousQ,_previousYear,Date,Market,_valueConnector,Gross Rent (psf),Vacancy Rate
Q4 2013,0,2014-07-01,2013-10-01,2014-10-01,Ragged Lake Business Park,,,
Q4 2013,0,2014-07-01,2013-10-01,2014-10-01,Sackville,,,
Q1 2014,1,2014-10-01,2014-01-01,2015-01-01,HRM,11.79,11.79,0.133
Q1 2014,0,2014-10-01,2014-01-01,2015-01-01,Atlantic Acres Industrial Park,,,
Q1 2014,0,2014-10-01,2014-01-01,2015-01-01,Bayers Lake,,,
Q1 2014,0,2014-10-01,2014-01-01,2015-01-01,Bedford,,,
Q1 2014,0,2014-10-01,2014-01-01,2015-01-01,Burnside,11.52,11.52,0.13
Q1 2014,0,2014-10-01,2014-01-01,2015-01-01,Halifax,,,0.094
Q1 2014,0,2014-10-01,2014-01-01,2015-01-01,Ragged Lake Business Park,,,
Q1 2014,0,2014-10-01,2014-01-01,2015-01-01,Sackville,,,
Q2 2014,1,2015-01-01,2014-04-01,2015-04-01,HRM,11.78,11.78,0.118
Q2 2014,0,2015-01-01,2014-04-01,2015-04-01,Atlantic Acres Industrial Park,,,
Q2 2014,0,2015-01-01,2014-04-01,2015-04-01,Bayers Lake,,,
Q2 2014,0,2015-01-01,2014-04-01,2015-04-01,Bedford,,,
Q2 2014,0,2015-01-01,2014-04-01,2015-04-01,Burnside,11.55,11.55,0.113
Q2 2014,0,2015-01-01,2014-04-01,2015-04-01,Halifax,,,0.094
Q2 2014,0,2015-01-01,2014-04-01,2015-04-01,Ragged Lake Business Park,,,
Q2 2014,0,2015-01-01,2014-04-01,2015-04-01,Sackville,,,
Q3 2014,1,2015-04-01,2014-07-01,2015-07-01,HRM,11.84,11.84,0.142
Q3 2014,0,2015-04-01,2014-07-01,2015-07-01,Atlantic Acres Industrial Park,,,
Q3 2014,0,2015-04-01,2014-07-01,2015-07-01,Bayers Lake,,,
Q3 2014,0,2015-04-01,2014-07-01,2015-07-01,Bedford,,,
Q3 2014,0,2015-04-01,2014-07-01,2015-07-01,Burnside,11.62,11.62,0.144
Q3 2014,0,2015-04-01,2014-07-01,2015-07-01,Halifax,12.88,12.88,0.084
Q3 2014,0,2015-04-01,2014-07-01,2015-07-01,Ragged Lake Business Park,,,
Q3 2014,0,2015-04-01,2014-07-01,2015-07-01,Sackville,,,
Q4 2014,1,2015-07-01,2014-10-01,2015-10-01,HRM,11.84,11.84,0.136
Q4 2014,0,2015-07-01,2014-10-01,2015-10-01,Atlantic Acres Industrial Park,,,
Q4 2014,0,2015-07-01,2014-10-01,2015-10-01,Bayers Lake,,,
Q4 2014,0,2015-07-01,2014-10-01,2015-10-01,Bedford,,,
Q4 2014,0,2015-07-01,2014-10-01,2015-10-01,Burnside,11.62,11.62,0.138
Q4 2014,0,2015-07-01,2014-10-01,2015-10-01,Halifax,12.88,12.88,0.084
Q4 2014,0,2015-07-01,2014-10-01,2015-10-01,Ragged Lake Business Park,,,
Q4 2014,0,2015-07-01,2014-10-01,2015-10-01,Sackville,,,
Q1 2015,1,2015-10-01,2015-01-01,2016-01-01,HRM,12.13,12.13,0.139
Q1 2015,0,2015-10-01,2015-01-01,2016-01-01,Atlantic Acres Industrial Park,,,
