Month,Gate Wait Average,Truck Service Average,Terminal
January,15,22,Fairview Cove
February,18,21,Fairview Cove
March,16,22,Fairview Cove
April,15,21,Fairview Cove
May,16,22,Fairview Cove
January,23,43,South End
February,27,46,South End
March,26,42,South End
April,28,45,South End
May,37,42,South End
