_previousMonth,_previousYear,Date,Industry (NAICS),_changeCalc,_valueConnector,Persons
February 2016,March 2015,2016-03-01,Other services (except public administration),12,7800,7800
March 2016,April 2015,2016-04-01,Other services (except public administration),12,8200,8200
April 2016,May 2015,2016-05-01,Other services (except public administration),12,8600,8600
May 2016,June 2015,2016-06-01,Other services (except public administration),12,9300,9300
June 2016,July 2015,2016-07-01,Other services (except public administration),12,9500,9500
July 2016,August 2015,2016-08-01,Other services (except public administration),12,9800,9800
August 2016,September 2015,2016-09-01,Other services (except public administration),12,9400,9400
September 2016,October 2015,2016-10-01,Other services (except public administration),12,9100,9100
October 2016,November 2015,2016-11-01,Other services (except public administration),12,8700,8700
November 2016,December 2015,2016-12-01,Other services (except public administration),12,8900,8900
December 2016,January 2016,2017-01-01,Other services (except public administration),12,8700,8700
January 2017,February 2016,2017-02-01,Other services (except public administration),12,8400,8400
February 2017,March 2016,2017-03-01,Other services (except public administration),12,8300,8300
March 2017,April 2016,2017-04-01,Other services (except public administration),12,8500,8500
April 2017,May 2016,2017-05-01,Other services (except public administration),12,9000,9000
May 2017,June 2016,2017-06-01,Other services (except public administration),12,9300,9300
June 2017,July 2016,2017-07-01,Other services (except public administration),12,9700,9700
July 2017,August 2016,2017-08-01,Other services (except public administration),12,9600,9600
August 2017,September 2016,2017-09-01,Other services (except public administration),12,9400,9400
September 2017,October 2016,2017-10-01,Other services (except public administration),12,9500,9500
October 2017,November 2016,2017-11-01,Other services (except public administration),12,10100,10100
November 2017,December 2016,2017-12-01,Other services (except public administration),12,10300,10300
December 2017,January 2017,2018-01-01,Other services (except public administration),12,9900,9900
January 2018,February 2017,2018-02-01,Other services (except public administration),12,9400,9400
February 2018,March 2017,2018-03-01,Other services (except public administration),12,9100,9100
March 2018,April 2017,2018-04-01,Other services (except public administration),12,9400,9400
April 2018,May 2017,2018-05-01,Other services (except public administration),12,9900,9900
May 2018,June 2017,2018-06-01,Other services (except public administration),12,10100,10100
June 2018,July 2017,2018-07-01,Other services (except public administration),12,9700,9700
July 2018,August 2017,2018-08-01,Other services (except public administration),12,9200,9200
August 2018,September 2017,2018-09-01,Other services (except public administration),12,9300,9300
September 2018,October 2017,2018-10-01,Other services (except public administration),12,9400,9400
October 2018,November 2017,2018-11-01,Other services (except public administration),12,8900,8900
November 2018,December 2017,2018-12-01,Other services (except public administration),12,8700,8700
December 2018,January 2018,2019-01-01,Other services (except public administration),12,8600,8600
January 2019,February 2018,2019-02-01,Other services (except public administration),12,8700,8700
February 2019,March 2018,2019-03-01,Other services (except public administration),12,8400,8400
March 2019,April 2018,2019-04-01,Other services (except public administration),12,8200,8200
April 2019,May 2018,2019-05-01,Other services (except public administration),12,8200,8200
May 2019,June 2018,2019-06-01,Other services (except public administration),12,8200,8200
June 2019,July 2018,2019-07-01,Other services (except public administration),12,8600,8600
July 2019,August 2018,2019-08-01,Other services (except public administration),12,8800,8800
August 2019,September 2018,2019-09-01,Other services (except public administration),12,9100,9100
September 2019,October 2018,2019-10-01,Other services (except public administration),12,7900,7900
October 2019,November 2018,2019-11-01,Other services (except public administration),12,6900,6900
November 2019,December 2018,2019-12-01,Other services (except public administration),12,6400,6400
December 2019,January 2019,2020-01-01,Other services (except public administration),12,7000,7000
January 2020,February 2019,2020-02-01,Other services (except public administration),12,7600,7600
February 2020,March 2019,2020-03-01,Other services (except public administration),12,7400,7400
March 2020,April 2019,2020-04-01,Other services (except public administration),12,6900,6900
April 2020,May 2019,2020-05-01,Other services (except public administration),12,6500,6500
May 2020,June 2019,2020-06-01,Other services (except public administration),12,6800,6800
June 2020,July 2019,2020-07-01,Other services (except public administration),12,7700,7700
July 2020,August 2019,2020-08-01,Other services (except public administration),12,9000,9000
August 2020,September 2019,2020-09-01,Other services (except public administration),12,10200,10200
September 2020,October 2019,2020-10-01,Other services (except public administration),12,10200,10200
October 2020,November 2019,2020-11-01,Other services (except public administration),12,9400,9400
November 2020,December 2019,2020-12-01,Other services (except public administration),12,8700,8700
December 2020,January 2020,2021-01-01,Other services (except public administration),12,7900,7900
January 2021,February 2020,2021-02-01,Other services (except public administration),12,7400,7400
February 2021,March 2020,2021-03-01,Other services (except public administration),12,7000,7000
March 2021,April 2020,2021-04-01,Other services (except public administration),12,7000,7000
April 2021,May 2020,2021-05-01,Other services (except public administration),12,7400,7400
May 2021,June 2020,2021-06-01,Other services (except public administration),12,7700,7700
June 2021,July 2020,2021-07-01,Other services (except public administration),12,7800,7800
July 2021,August 2020,2021-08-01,Other services (except public administration),12,7900,7900
August 2021,September 2020,2021-09-01,Other services (except public administration),12,7300,7300
April 2006,May 2005,2006-05-01,"Professional, scientific and technical services",12,13000,13000
May 2006,June 2005,2006-06-01,"Professional, scientific and technical services",12,13200,13200
June 2006,July 2005,2006-07-01,"Professional, scientific and technical services",12,13200,13200
July 2006,August 2005,2006-08-01,"Professional, scientific and technical services",12,13300,13300
August 2006,September 2005,2006-09-01,"Professional, scientific and technical services",12,12900,12900
September 2006,October 2005,2006-10-01,"Professional, scientific and technical services",12,12700,12700
October 2006,November 2005,2006-11-01,"Professional, scientific and technical services",12,12500,12500
November 2006,December 2005,2006-12-01,"Professional, scientific and technical services",12,12400,12400
December 2006,January 2006,2007-01-01,"Professional, scientific and technical services",12,12400,12400
January 2007,February 2006,2007-02-01,"Professional, scientific and technical services",12,11700,11700
February 2007,March 2006,2007-03-01,"Professional, scientific and technical services",12,11300,11300
March 2007,April 2006,2007-04-01,"Professional, scientific and technical services",12,10800,10800
April 2007,May 2006,2007-05-01,"Professional, scientific and technical services",12,10200,10200
May 2007,June 2006,2007-06-01,"Professional, scientific and technical services",12,9800,9800
June 2007,July 2006,2007-07-01,"Professional, scientific and technical services",12,9400,9400
July 2007,August 2006,2007-08-01,"Professional, scientific and technical services",12,10200,10200
August 2007,September 2006,2007-09-01,"Professional, scientific and technical services",12,10600,10600
September 2007,October 2006,2007-10-01,"Professional, scientific and technical services",12,11400,11400
October 2007,November 2006,2007-11-01,"Professional, scientific and technical services",12,11400,11400
November 2007,December 2006,2007-12-01,"Professional, scientific and technical services",12,12100,12100
December 2007,January 2007,2008-01-01,"Professional, scientific and technical services",12,12300,12300
January 2008,February 2007,2008-02-01,"Professional, scientific and technical services",12,12200,12200
February 2008,March 2007,2008-03-01,"Professional, scientific and technical services",12,12500,12500
March 2008,April 2007,2008-04-01,"Professional, scientific and technical services",12,12600,12600
April 2008,May 2007,2008-05-01,"Professional, scientific and technical services",12,13100,13100
May 2008,June 2007,2008-06-01,"Professional, scientific and technical services",12,13300,13300
June 2008,July 2007,2008-07-01,"Professional, scientific and technical services",12,13900,13900
July 2008,August 2007,2008-08-01,"Professional, scientific and technical services",12,14400,14400
August 2008,September 2007,2008-09-01,"Professional, scientific and technical services",12,15100,15100
September 2008,October 2007,2008-10-01,"Professional, scientific and technical services",12,15000,15000
October 2008,November 2007,2008-11-01,"Professional, scientific and technical services",12,14900,14900
November 2008,December 2007,2008-12-01,"Professional, scientific and technical services",12,14700,14700
December 2008,January 2008,2009-01-01,"Professional, scientific and technical services",12,14800,14800
January 2009,February 2008,2009-02-01,"Professional, scientific and technical services",12,14900,14900
February 2009,March 2008,2009-03-01,"Professional, scientific and technical services",12,14600,14600
March 2009,April 2008,2009-04-01,"Professional, scientific and technical services",12,14700,14700
April 2009,May 2008,2009-05-01,"Professional, scientific and technical services",12,14600,14600
May 2009,June 2008,2009-06-01,"Professional, scientific and technical services",12,14900,14900
June 2009,July 2008,2009-07-01,"Professional, scientific and technical services",12,14700,14700
July 2009,August 2008,2009-08-01,"Professional, scientific and technical services",12,14600,14600
August 2009,September 2008,2009-09-01,"Professional, scientific and technical services",12,14200,14200
September 2009,October 2008,2009-10-01,"Professional, scientific and technical services",12,14000,14000
October 2009,November 2008,2009-11-01,"Professional, scientific and technical services",12,14200,14200
November 2009,December 2008,2009-12-01,"Professional, scientific and technical services",12,14400,14400
December 2009,January 2009,2010-01-01,"Professional, scientific and technical services",12,14500,14500
January 2010,February 2009,2010-02-01,"Professional, scientific and technical services",12,15100,15100
February 2010,March 2009,2010-03-01,"Professional, scientific and technical services",12,15500,15500
March 2010,April 2009,2010-04-01,"Professional, scientific and technical services",12,16000,16000
April 2010,May 2009,2010-05-01,"Professional, scientific and technical services",12,16200,16200
May 2010,June 2009,2010-06-01,"Professional, scientific and technical services",12,16400,16400
June 2010,July 2009,2010-07-01,"Professional, scientific and technical services",12,16800,16800
July 2010,August 2009,2010-08-01,"Professional, scientific and technical services",12,16900,16900
August 2010,September 2009,2010-09-01,"Professional, scientific and technical services",12,16400,16400
September 2010,October 2009,2010-10-01,"Professional, scientific and technical services",12,15200,15200
October 2010,November 2009,2010-11-01,"Professional, scientific and technical services",12,14400,14400
November 2010,December 2009,2010-12-01,"Professional, scientific and technical services",12,13900,13900
December 2010,January 2010,2011-01-01,"Professional, scientific and technical services",12,14100,14100
January 2011,February 2010,2011-02-01,"Professional, scientific and technical services",12,13600,13600
February 2011,March 2010,2011-03-01,"Professional, scientific and technical services",12,13400,13400
March 2011,April 2010,2011-04-01,"Professional, scientific and technical services",12,13500,13500
April 2011,May 2010,2011-05-01,"Professional, scientific and technical services",12,13900,13900
May 2011,June 2010,2011-06-01,"Professional, scientific and technical services",12,14700,14700
June 2011,July 2010,2011-07-01,"Professional, scientific and technical services",12,14500,14500
July 2011,August 2010,2011-08-01,"Professional, scientific and technical services",12,14900,14900
August 2011,September 2010,2011-09-01,"Professional, scientific and technical services",12,14900,14900
September 2011,October 2010,2011-10-01,"Professional, scientific and technical services",12,15200,15200
October 2011,November 2010,2011-11-01,"Professional, scientific and technical services",12,15200,15200
November 2011,December 2010,2011-12-01,"Professional, scientific and technical services",12,15000,15000
December 2011,January 2011,2012-01-01,"Professional, scientific and technical services",12,15200,15200
January 2012,February 2011,2012-02-01,"Professional, scientific and technical services",12,15300,15300
February 2012,March 2011,2012-03-01,"Professional, scientific and technical services",12,15700,15700
March 2012,April 2011,2012-04-01,"Professional, scientific and technical services",12,15700,15700
April 2012,May 2011,2012-05-01,"Professional, scientific and technical services",12,15300,15300
May 2012,June 2011,2012-06-01,"Professional, scientific and technical services",12,14900,14900
June 2012,July 2011,2012-07-01,"Professional, scientific and technical services",12,14600,14600
July 2012,August 2011,2012-08-01,"Professional, scientific and technical services",12,15000,15000
August 2012,September 2011,2012-09-01,"Professional, scientific and technical services",12,15300,15300
September 2012,October 2011,2012-10-01,"Professional, scientific and technical services",12,15700,15700
October 2012,November 2011,2012-11-01,"Professional, scientific and technical services",12,16500,16500
November 2012,December 2011,2012-12-01,"Professional, scientific and technical services",12,17000,17000
December 2012,January 2012,2013-01-01,"Professional, scientific and technical services",12,18000,18000
January 2013,February 2012,2013-02-01,"Professional, scientific and technical services",12,18200,18200
February 2013,March 2012,2013-03-01,"Professional, scientific and technical services",12,18600,18600
March 2013,April 2012,2013-04-01,"Professional, scientific and technical services",12,18400,18400
April 2013,May 2012,2013-05-01,"Professional, scientific and technical services",12,18800,18800
May 2013,June 2012,2013-06-01,"Professional, scientific and technical services",12,19700,19700
June 2013,July 2012,2013-07-01,"Professional, scientific and technical services",12,20400,20400
July 2013,August 2012,2013-08-01,"Professional, scientific and technical services",12,20500,20500
August 2013,September 2012,2013-09-01,"Professional, scientific and technical services",12,19700,19700
September 2013,October 2012,2013-10-01,"Professional, scientific and technical services",12,19000,19000
October 2013,November 2012,2013-11-01,"Professional, scientific and technical services",12,18200,18200
November 2013,December 2012,2013-12-01,"Professional, scientific and technical services",12,17500,17500
December 2013,January 2013,2014-01-01,"Professional, scientific and technical services",12,16700,16700
January 2014,February 2013,2014-02-01,"Professional, scientific and technical services",12,16600,16600
February 2014,March 2013,2014-03-01,"Professional, scientific and technical services",12,17100,17100
March 2014,April 2013,2014-04-01,"Professional, scientific and technical services",12,17700,17700
April 2014,May 2013,2014-05-01,"Professional, scientific and technical services",12,18100,18100
May 2014,June 2013,2014-06-01,"Professional, scientific and technical services",12,18500,18500
June 2014,July 2013,2014-07-01,"Professional, scientific and technical services",12,18700,18700
July 2014,August 2013,2014-08-01,"Professional, scientific and technical services",12,19000,19000
August 2014,September 2013,2014-09-01,"Professional, scientific and technical services",12,19400,19400
September 2014,October 2013,2014-10-01,"Professional, scientific and technical services",12,20100,20100
October 2014,November 2013,2014-11-01,"Professional, scientific and technical services",12,20500,20500
November 2014,December 2013,2014-12-01,"Professional, scientific and technical services",12,20200,20200
December 2014,January 2014,2015-01-01,"Professional, scientific and technical services",12,20000,20000
January 2015,February 2014,2015-02-01,"Professional, scientific and technical services",12,19700,19700
February 2015,March 2014,2015-03-01,"Professional, scientific and technical services",12,19100,19100
March 2015,April 2014,2015-04-01,"Professional, scientific and technical services",12,18500,18500
April 2015,May 2014,2015-05-01,"Professional, scientific and technical services",12,19000,19000
May 2015,June 2014,2015-06-01,"Professional, scientific and technical services",12,19900,19900
June 2015,July 2014,2015-07-01,"Professional, scientific and technical services",12,20600,20600
July 2015,August 2014,2015-08-01,"Professional, scientific and technical services",12,20800,20800
August 2015,September 2014,2015-09-01,"Professional, scientific and technical services",12,20700,20700
September 2015,October 2014,2015-10-01,"Professional, scientific and technical services",12,20100,20100
October 2015,November 2014,2015-11-01,"Professional, scientific and technical services",12,18900,18900
November 2015,December 2014,2015-12-01,"Professional, scientific and technical services",12,18000,18000
December 2015,January 2015,2016-01-01,"Professional, scientific and technical services",12,17600,17600
January 2016,February 2015,2016-02-01,"Professional, scientific and technical services",12,17800,17800
February 2016,March 2015,2016-03-01,"Professional, scientific and technical services",12,18500,18500
March 2016,April 2015,2016-04-01,"Professional, scientific and technical services",12,19400,19400
April 2016,May 2015,2016-05-01,"Professional, scientific and technical services",12,20300,20300
May 2016,June 2015,2016-06-01,"Professional, scientific and technical services",12,20300,20300
June 2016,July 2015,2016-07-01,"Professional, scientific and technical services",12,20500,20500
July 2016,August 2015,2016-08-01,"Professional, scientific and technical services",12,20200,20200
August 2016,September 2015,2016-09-01,"Professional, scientific and technical services",12,19900,19900
September 2016,October 2015,2016-10-01,"Professional, scientific and technical services",12,19000,19000
October 2016,November 2015,2016-11-01,"Professional, scientific and technical services",12,18400,18400
November 2016,December 2015,2016-12-01,"Professional, scientific and technical services",12,18500,18500
December 2016,January 2016,2017-01-01,"Professional, scientific and technical services",12,19000,19000
January 2017,February 2016,2017-02-01,"Professional, scientific and technical services",12,19200,19200
February 2017,March 2016,2017-03-01,"Professional, scientific and technical services",12,19000,19000
March 2017,April 2016,2017-04-01,"Professional, scientific and technical services",12,18200,18200
April 2017,May 2016,2017-05-01,"Professional, scientific and technical services",12,17600,17600
May 2017,June 2016,2017-06-01,"Professional, scientific and technical services",12,17400,17400
June 2017,July 2016,2017-07-01,"Professional, scientific and technical services",12,17600,17600
July 2017,August 2016,2017-08-01,"Professional, scientific and technical services",12,18300,18300
August 2017,September 2016,2017-09-01,"Professional, scientific and technical services",12,18100,18100
September 2017,October 2016,2017-10-01,"Professional, scientific and technical services",12,18100,18100
October 2017,November 2016,2017-11-01,"Professional, scientific and technical services",12,18100,18100
November 2017,December 2016,2017-12-01,"Professional, scientific and technical services",12,18800,18800
December 2017,January 2017,2018-01-01,"Professional, scientific and technical services",12,18700,18700
January 2018,February 2017,2018-02-01,"Professional, scientific and technical services",12,18000,18000
February 2018,March 2017,2018-03-01,"Professional, scientific and technical services",12,17300,17300
March 2018,April 2017,2018-04-01,"Professional, scientific and technical services",12,16600,16600
April 2018,May 2017,2018-05-01,"Professional, scientific and technical services",12,16300,16300
May 2018,June 2017,2018-06-01,"Professional, scientific and technical services",12,16700,16700
June 2018,July 2017,2018-07-01,"Professional, scientific and technical services",12,18000,18000
July 2018,August 2017,2018-08-01,"Professional, scientific and technical services",12,19000,19000
August 2018,September 2017,2018-09-01,"Professional, scientific and technical services",12,19400,19400
September 2018,October 2017,2018-10-01,"Professional, scientific and technical services",12,19500,19500
October 2018,November 2017,2018-11-01,"Professional, scientific and technical services",12,19600,19600
November 2018,December 2017,2018-12-01,"Professional, scientific and technical services",12,19600,19600
December 2018,January 2018,2019-01-01,"Professional, scientific and technical services",12,18800,18800
January 2019,February 2018,2019-02-01,"Professional, scientific and technical services",12,18900,18900
February 2019,March 2018,2019-03-01,"Professional, scientific and technical services",12,19100,19100
March 2019,April 2018,2019-04-01,"Professional, scientific and technical services",12,19800,19800
April 2019,May 2018,2019-05-01,"Professional, scientific and technical services",12,20100,20100
May 2019,June 2018,2019-06-01,"Professional, scientific and technical services",12,20600,20600
June 2019,July 2018,2019-07-01,"Professional, scientific and technical services",12,20700,20700
July 2019,August 2018,2019-08-01,"Professional, scientific and technical services",12,20000,20000
August 2019,September 2018,2019-09-01,"Professional, scientific and technical services",12,19000,19000
September 2019,October 2018,2019-10-01,"Professional, scientific and technical services",12,18500,18500
October 2019,November 2018,2019-11-01,"Professional, scientific and technical services",12,18000,18000
November 2019,December 2018,2019-12-01,"Professional, scientific and technical services",12,17600,17600
December 2019,January 2019,2020-01-01,"Professional, scientific and technical services",12,17800,17800
January 2020,February 2019,2020-02-01,"Professional, scientific and technical services",12,18300,18300
February 2020,March 2019,2020-03-01,"Professional, scientific and technical services",12,19200,19200
March 2020,April 2019,2020-04-01,"Professional, scientific and technical services",12,19300,19300
April 2020,May 2019,2020-05-01,"Professional, scientific and technical services",12,19500,19500
May 2020,June 2019,2020-06-01,"Professional, scientific and technical services",12,19800,19800
June 2020,July 2019,2020-07-01,"Professional, scientific and technical services",12,20400,20400
July 2020,August 2019,2020-08-01,"Professional, scientific and technical services",12,21500,21500
August 2020,September 2019,2020-09-01,"Professional, scientific and technical services",12,22400,22400
September 2020,October 2019,2020-10-01,"Professional, scientific and technical services",12,23300,23300
October 2020,November 2019,2020-11-01,"Professional, scientific and technical services",12,23100,23100
November 2020,December 2019,2020-12-01,"Professional, scientific and technical services",12,22600,22600
December 2020,January 2020,2021-01-01,"Professional, scientific and technical services",12,22200,22200
January 2021,February 2020,2021-02-01,"Professional, scientific and technical services",12,21800,21800
February 2021,March 2020,2021-03-01,"Professional, scientific and technical services",12,22300,22300
March 2021,April 2020,2021-04-01,"Professional, scientific and technical services",12,23100,23100
April 2021,May 2020,2021-05-01,"Professional, scientific and technical services",12,24000,24000
May 2021,June 2020,2021-06-01,"Professional, scientific and technical services",12,25000,25000
June 2021,July 2020,2021-07-01,"Professional, scientific and technical services",12,25600,25600
July 2021,August 2020,2021-08-01,"Professional, scientific and technical services",12,26800,26800
August 2021,September 2020,2021-09-01,"Professional, scientific and technical services",12,27000,27000
April 2006,May 2005,2006-05-01,Public administration,12,18500,18500
May 2006,June 2005,2006-06-01,Public administration,12,17900,17900
June 2006,July 2005,2006-07-01,Public administration,12,17700,17700
July 2006,August 2005,2006-08-01,Public administration,12,18100,18100
August 2006,September 2005,2006-09-01,Public administration,12,17400,17400
September 2006,October 2005,2006-10-01,Public administration,12,16900,16900
October 2006,November 2005,2006-11-01,Public administration,12,16200,16200
November 2006,December 2005,2006-12-01,Public administration,12,16700,16700
December 2006,January 2006,2007-01-01,Public administration,12,16600,16600
January 2007,February 2006,2007-02-01,Public administration,12,16600,16600
February 2007,March 2006,2007-03-01,Public administration,12,16500,16500
March 2007,April 2006,2007-04-01,Public administration,12,16500,16500
April 2007,May 2006,2007-05-01,Public administration,12,16200,16200
May 2007,June 2006,2007-06-01,Public administration,12,15900,15900
June 2007,July 2006,2007-07-01,Public administration,12,16200,16200
July 2007,August 2006,2007-08-01,Public administration,12,16700,16700
August 2007,September 2006,2007-09-01,Public administration,12,17300,17300
September 2007,October 2006,2007-10-01,Public administration,12,17700,17700
October 2007,November 2006,2007-11-01,Public administration,12,17700,17700
November 2007,December 2006,2007-12-01,Public administration,12,17500,17500
December 2007,January 2007,2008-01-01,Public administration,12,17000,17000
January 2008,February 2007,2008-02-01,Public administration,12,16600,16600
February 2008,March 2007,2008-03-01,Public administration,12,16100,16100
March 2008,April 2007,2008-04-01,Public administration,12,15900,15900
April 2008,May 2007,2008-05-01,Public administration,12,15800,15800
May 2008,June 2007,2008-06-01,Public administration,12,16100,16100
June 2008,July 2007,2008-07-01,Public administration,12,16300,16300
July 2008,August 2007,2008-08-01,Public administration,12,16600,16600
August 2008,September 2007,2008-09-01,Public administration,12,16600,16600
September 2008,October 2007,2008-10-01,Public administration,12,17100,17100
October 2008,November 2007,2008-11-01,Public administration,12,17400,17400
November 2008,December 2007,2008-12-01,Public administration,12,17900,17900
December 2008,January 2008,2009-01-01,Public administration,12,18000,18000
January 2009,February 2008,2009-02-01,Public administration,12,18600,18600
February 2009,March 2008,2009-03-01,Public administration,12,18800,18800
March 2009,April 2008,2009-04-01,Public administration,12,18800,18800
April 2009,May 2008,2009-05-01,Public administration,12,18200,18200
May 2009,June 2008,2009-06-01,Public administration,12,17700,17700
June 2009,July 2008,2009-07-01,Public administration,12,17200,17200
July 2009,August 2008,2009-08-01,Public administration,12,16900,16900
August 2009,September 2008,2009-09-01,Public administration,12,17000,17000
September 2009,October 2008,2009-10-01,Public administration,12,17000,17000
October 2009,November 2008,2009-11-01,Public administration,12,17200,17200
November 2009,December 2008,2009-12-01,Public administration,12,17500,17500
December 2009,January 2009,2010-01-01,Public administration,12,17900,17900
January 2010,February 2009,2010-02-01,Public administration,12,18400,18400
February 2010,March 2009,2010-03-01,Public administration,12,18100,18100
March 2010,April 2009,2010-04-01,Public administration,12,18300,18300
April 2010,May 2009,2010-05-01,Public administration,12,18300,18300
May 2010,June 2009,2010-06-01,Public administration,12,18600,18600
June 2010,July 2009,2010-07-01,Public administration,12,18500,18500
July 2010,August 2009,2010-08-01,Public administration,12,18400,18400
August 2010,September 2009,2010-09-01,Public administration,12,18100,18100
September 2010,October 2009,2010-10-01,Public administration,12,17500,17500
October 2010,November 2009,2010-11-01,Public administration,12,17300,17300
November 2010,December 2009,2010-12-01,Public administration,12,17500,17500
December 2010,January 2010,2011-01-01,Public administration,12,17900,17900
January 2011,February 2010,2011-02-01,Public administration,12,17900,17900
February 2011,March 2010,2011-03-01,Public administration,12,18100,18100
March 2011,April 2010,2011-04-01,Public administration,12,18200,18200
April 2011,May 2010,2011-05-01,Public administration,12,18400,18400
May 2011,June 2010,2011-06-01,Public administration,12,18400,18400
June 2011,July 2010,2011-07-01,Public administration,12,18500,18500
July 2011,August 2010,2011-08-01,Public administration,12,18300,18300
August 2011,September 2010,2011-09-01,Public administration,12,17800,17800
September 2011,October 2010,2011-10-01,Public administration,12,17600,17600
October 2011,November 2010,2011-11-01,Public administration,12,18100,18100
November 2011,December 2010,2011-12-01,Public administration,12,18400,18400
December 2011,January 2011,2012-01-01,Public administration,12,18400,18400
January 2012,February 2011,2012-02-01,Public administration,12,17600,17600
February 2012,March 2011,2012-03-01,Public administration,12,17400,17400
March 2012,April 2011,2012-04-01,Public administration,12,17100,17100
April 2012,May 2011,2012-05-01,Public administration,12,17000,17000
May 2012,June 2011,2012-06-01,Public administration,12,16600,16600
June 2012,July 2011,2012-07-01,Public administration,12,16600,16600
July 2012,August 2011,2012-08-01,Public administration,12,16600,16600
August 2012,September 2011,2012-09-01,Public administration,12,16400,16400
September 2012,October 2011,2012-10-01,Public administration,12,16000,16000
October 2012,November 2011,2012-11-01,Public administration,12,15400,15400
November 2012,December 2011,2012-12-01,Public administration,12,15500,15500
December 2012,January 2012,2013-01-01,Public administration,12,16100,16100
January 2013,February 2012,2013-02-01,Public administration,12,17300,17300
February 2013,March 2012,2013-03-01,Public administration,12,17800,17800
March 2013,April 2012,2013-04-01,Public administration,12,18400,18400
April 2013,May 2012,2013-05-01,Public administration,12,18500,18500
May 2013,June 2012,2013-06-01,Public administration,12,18400,18400
June 2013,July 2012,2013-07-01,Public administration,12,17400,17400
July 2013,August 2012,2013-08-01,Public administration,12,15900,15900
August 2013,September 2012,2013-09-01,Public administration,12,15300,15300
September 2013,October 2012,2013-10-01,Public administration,12,14800,14800
October 2013,November 2012,2013-11-01,Public administration,12,14400,14400
November 2013,December 2012,2013-12-01,Public administration,12,13800,13800
December 2013,January 2013,2014-01-01,Public administration,12,13800,13800
January 2014,February 2013,2014-02-01,Public administration,12,14400,14400
February 2014,March 2013,2014-03-01,Public administration,12,15000,15000
March 2014,April 2013,2014-04-01,Public administration,12,15300,15300
April 2014,May 2013,2014-05-01,Public administration,12,15200,15200
May 2014,June 2013,2014-06-01,Public administration,12,15000,15000
June 2014,July 2013,2014-07-01,Public administration,12,15100,15100
July 2014,August 2013,2014-08-01,Public administration,12,15400,15400
August 2014,September 2013,2014-09-01,Public administration,12,15600,15600
September 2014,October 2013,2014-10-01,Public administration,12,15900,15900
October 2014,November 2013,2014-11-01,Public administration,12,16000,16000
November 2014,December 2013,2014-12-01,Public administration,12,16200,16200
December 2014,January 2014,2015-01-01,Public administration,12,16300,16300
January 2015,February 2014,2015-02-01,Public administration,12,16500,16500
February 2015,March 2014,2015-03-01,Public administration,12,16500,16500
March 2015,April 2014,2015-04-01,Public administration,12,15900,15900
April 2015,May 2014,2015-05-01,Public administration,12,15300,15300
May 2015,June 2014,2015-06-01,Public administration,12,15200,15200
June 2015,July 2014,2015-07-01,Public administration,12,15600,15600
July 2015,August 2014,2015-08-01,Public administration,12,16100,16100
August 2015,September 2014,2015-09-01,Public administration,12,16300,16300
September 2015,October 2014,2015-10-01,Public administration,12,16800,16800
October 2015,November 2014,2015-11-01,Public administration,12,17300,17300
November 2015,December 2014,2015-12-01,Public administration,12,17400,17400
December 2015,January 2015,2016-01-01,Public administration,12,17500,17500
January 2016,February 2015,2016-02-01,Public administration,12,17000,17000
February 2016,March 2015,2016-03-01,Public administration,12,16600,16600
March 2016,April 2015,2016-04-01,Public administration,12,16200,16200
April 2016,May 2015,2016-05-01,Public administration,12,16100,16100
May 2016,June 2015,2016-06-01,Public administration,12,15700,15700
June 2016,July 2015,2016-07-01,Public administration,12,14900,14900
July 2016,August 2015,2016-08-01,Public administration,12,14300,14300
August 2016,September 2015,2016-09-01,Public administration,12,14400,14400
September 2016,October 2015,2016-10-01,Public administration,12,14600,14600
October 2016,November 2015,2016-11-01,Public administration,12,15100,15100
November 2016,December 2015,2016-12-01,Public administration,12,15300,15300
December 2016,January 2016,2017-01-01,Public administration,12,16300,16300
January 2017,February 2016,2017-02-01,Public administration,12,16600,16600
February 2017,March 2016,2017-03-01,Public administration,12,16800,16800
March 2017,April 2016,2017-04-01,Public administration,12,16300,16300
April 2017,May 2016,2017-05-01,Public administration,12,16300,16300
May 2017,June 2016,2017-06-01,Public administration,12,16600,16600
June 2017,July 2016,2017-07-01,Public administration,12,16600,16600
July 2017,August 2016,2017-08-01,Public administration,12,16400,16400
August 2017,September 2016,2017-09-01,Public administration,12,16100,16100
September 2017,October 2016,2017-10-01,Public administration,12,16000,16000
October 2017,November 2016,2017-11-01,Public administration,12,15700,15700
November 2017,December 2016,2017-12-01,Public administration,12,15900,15900
December 2017,January 2017,2018-01-01,Public administration,12,16600,16600
January 2018,February 2017,2018-02-01,Public administration,12,17300,17300
February 2018,March 2017,2018-03-01,Public administration,12,17600,17600
March 2018,April 2017,2018-04-01,Public administration,12,17700,17700
April 2018,May 2017,2018-05-01,Public administration,12,18000,18000
May 2018,June 2017,2018-06-01,Public administration,12,17800,17800
June 2018,July 2017,2018-07-01,Public administration,12,18000,18000
July 2018,August 2017,2018-08-01,Public administration,12,18200,18200
August 2018,September 2017,2018-09-01,Public administration,12,18400,18400
September 2018,October 2017,2018-10-01,Public administration,12,17600,17600
October 2018,November 2017,2018-11-01,Public administration,12,16900,16900
November 2018,December 2017,2018-12-01,Public administration,12,16100,16100
December 2018,January 2018,2019-01-01,Public administration,12,16200,16200
January 2019,February 2018,2019-02-01,Public administration,12,16300,16300
